	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 2	Subtype 2	Subtype 2	Subtype 2	Subtype 2	Subtype 2	Subtype 2	Subtype 2	Subtype 2	Subtype 2	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1
KLF5	0.4735	0.518	0.737	1.806	0.323	0.815	0.9855	1.224	1.161	1.763	1.425	-0.0765	1.361	0.2515	0.499	0.682	0.7815	1.1875	2.025	0.8485	0.876	0.781	0.681	0.908	1.281	1.62	1.7975	-2.7215	-0.653	-1.6275	-1.4635	-1.2815	-2.3725	-2.642	-1.445	-0.615	-2.518	-2.685	-1.148	-0.8375	-3.193	-3.792	-4.4725	-2.0525	-4.5675	-2.425	-2.4095	-2.6865	-1.512	-4.565	-3.7455	-4.827	-2.3505	-3.54	-1.936	-2.7515
NRL	-1.461	1.911	-0.749	-1.341	1.621	-0.685	-1.059	-1.807	1.532	0.396	-1.328	-2.803	-0.53	-0.866	-1.648	-2.272	-1.196	-0.4	-1.968	0.381	-1.028	-0.305	-0.324	-1.139	-0.521	-1.259	0.561	1.338	-0.498	0.009	-0.151	1.142	-0.015	0.186	0.292	-0.15	-1.421	1.934	2.385	1.386	0.478	1.032	0.417	-0.009	1.228	0.734	0.802	0.235	1.439	1.946	2.098	0.296	1.792	0.19	0.473	1.188
POF1B	-0.121	-0.783	0.694	0.56	-0.338	-0.814	-0.723	-0.259	-0.732	-1.451	-0.734	0.451	0.556	0.099	0.007	0.289	0.926	-0.942	-0.223	-0.659	-0.96	-0.968	0.257	-1.066	2.43e-08	2.43e-08	0.112	2.615	0.422	1.867	3.391	2.224	3.348	2.871	2.668	3.838	2.629	-0.541	-0.77	-0.753	0.25	0.808	2.43e-08	-0.794	0.03	-0.317	-0.606	-0.318	1.266	0.235	0.401	-0.423	0.379	-0.912	-0.433	0.013
RASL11A	0.435	0.06	-0.508	-0.095	1.427	0.622	-0.563	0.468	-0.179	0.565	0.366	1.086	1.422	0.806	0.711	0.87	-0.085	1.391	0.653	0.108	-0.047	0.31	1.045	1.142	0.846	0.785	0.189	0.066	-0.007	-0.189	-0.781	-0.592	0.917	0.313	-0.452	-0.252	1.26e-08	-0.369	-0.79	-0.387	-0.926	-0.395	-0.639	-1.174	-0.485	-0.468	-0.603	-0.327	-0.946	-2.164	-1.938	-0.795	-0.695	-0.434	1.26e-08	0.537
ERAP1	0.379	0.641	1.09	-5e-08	-0.145	0.321	0.734	0.34	0.566	0.289	0.13	1.911	0.799	1.561	1.614	2.236	3.496	-0.328	1.941	1.432	0.801	1.509	0.631	1.717	0.654	1.702	0.456	0.036	-0.177	-0.795	-0.495	-0.802	-5e-08	-0.589	-1.697	-5e-08	-5e-08	-1.145	-1.59	-0.926	0.274	0.128	-1.337	-1.287	0.0009999	-0.957	-0.867	-0.221	-5e-08	-2.103	-1.585	-0.794	-0.764	-1.198	-1.311	-0.323
PCP2	1.304	-3.315	-0.868	-2.078	-1.804	-2.897	-0.162	-0.893	-0.537	-1.58	0.641	0	1.675	-1.052	-0.501	0.534	-1.367	-1.232	-5.316	-2.484	-1.553	-2.021	0.633	0.696	3.033	-1.598	0.091	0.092	-0.469	0.612	-1.478	-0.196	0.138	-0.507	1.613	-0.432	-0.114	3.617	-1.958	-0.604	0	0.506	2.161	3.558	1.853	2.236	0.93	1.22	0.319	2.367	1.767	2.919	2.829	0.464	2.342	2.42
ODF3	0.7795	0.1735	-0.0915	0.8625	0	0.5985	1.114	0.9715	-0.4255	-0.1165	0.1365	0.6935	1.339	0.8245	1.138	1.027	1.268	0.1745	1.41	1.228	-0.2465	1.324	1.106	0.3945	1.177	1.048	0	0.5395	-0.4405	-0.3775	-0.8335	-0.7485	0	-0.0575	0.7405	0	-0.0265	-0.3625	-0.4035	-0.2535	-1.27	0.7565	-1.657	-1.04	-0.2165	-0.5765	-0.5965	-0.1555	-1.363	-4.458	-1.504	-2.108	-0.9665	-1.572	-0.6335	0.6775
CD276	0.8755	-0.6445	-0.7645	-0.2255	0.7025	0.4375	0.0575	0.1475	-0.1325	0.0125	0.3725	0.0745	0.7145	-0.4325	-0.4025	0.9555	-1.396	0.3975	0.4605	0.3335	0.0535	-0.1725	-0.4385	-0.0275	0.5475	0.6455	0.0325	3.471	1.678	-0.0925	4.028	2.112	1.537	-0.3355	3.1	2.842	1.888	-1.208	-0.3235	0.0505	-1.077	-0.7925	0.1285	-0.6115	-0.9755	-0.0125	-0.3325	-0.2025	-0.8565	0.2295	-0.7565	-0.2605	0.4635	0.5375	0.4745	-0.2625
C2orf72	1.0855	4.519	3.7425	-0.8135	2.909	-0.2115	3.192	0.3335	2.1505	1.8945	3.9275	3.7065	3.534	-0.3775	2.91	1.5645	0.5225	1.7515	5.3295	2.5455	3.485	0.2415	3.6155	2.768	3.6435	3.593	3.488	-0.7555	-0.841	-0.85	-1.3325	-1.086	-0.4	-0.768	-0.214	1.655	-0.9545	-1.5255	-0.5035	-0.614	-1.115	-1.945	-2.481	-1.2535	-1.9965	-1.793	-1.5805	-1.028	-2.3315	-1.038	-1.112	-1.4275	-1.585	-1.9445	-0.62	-1.4825
LOC100289612	1.158	1.713	-0.663	1.432	2.533	-0.81	0.77	0.54	1.272	1.398	1.492	0.756	1.37	0.36	0.94	-0.25	3.149	0.46	1.425	1.356	2.467	-0.25	4.968	1.209	2.348	2.024	3.131	-1.946	-0.043	-1.35	-0.82	1.062	1.533	5.72e-08	5.72e-08	1.574	-0.611	-0.065	-1.258	-1.051	-3.718	-1.12	5.72e-08	-2.85	0.478	-2.14	-1.17	-3.15	-1.731	-1.749	-0.928	-4.675	-1.625	-3.05	-1.742	-2.4
VENTXP1	-0.6865	0.0865	-0.8315	-1.576	-0.3795	-0.2955	-1.157	-0.8765	-0.4855	-0.0595	-0.2305	-0.5605	-1.002	0.0945	0.5215	-0.8165	-0.0435	-0.1475	-0.6915	0.2015	-0.8765	-0.2385	-0.6335	-0.0765	0.2035	-0.2405	-0.8715	1.718	0.6275	0.4885	0.2875	0.3175	0.0015	0.4895	1.392	2.05	0.4295	1.072	0.7705	2.413	0.6445	0.7665	0.6595	0.0555	0.8875	0.3515	0.2365	0.6815	-0.1775	0.7615	0.3915	0.5055	0.5655	1.517	1.505	-0.0015
GDNF	0.4315	-1.001	0.1965	1.434	0.4415	1.141	0.7725	0.9895	0.2565	1.106	1.395	2.008	0.6595	1.343	0.5755	1.026	1.938	0.4355	1.225	0.5205	1.269	0.3995	0.6995	0.9735	0.9535	0	1.418	-0.5145	0.1915	-0.1205	-0.1525	0.0075	-0.2355	-0.0075	-1.007	-0.6275	-0.5795	-0.6405	-0.9455	-1.236	-0.1255	-0.1045	-0.1995	-0.7495	-1.015	-1.543	0.3235	0.6935	-1.028	-2.92	-1.728	-2.188	-0.7835	-0.4235	-0.6045	0.2775
MGC13053	-0.181	-0.204	1.504	0.136	2.945	0.107	1.931	0.373	0.349	2.106	0.262	-2.057	1.896	1.547	0.751	2.655	3.324	0.372	2.528	3.306	0.002	1.891	0.443	0.123	0.941	2.714	0.751	-1.18	-0.09	0.074	0.649	1.209	-0.519	-0.484	0.73	0.935	-0.246	-1.811	-0.913	-0.127	-0.221	-0.823	-1.139	-1.127	-3.48	-0.828	-0.669	-0.303	-1.992	-2.988	-0.819	-1.187	-0.295	-0.108	-2.034	0.107
CYSLTR1	-0.5915	-0.4495	-0.9845	-0.7055	0.0005	0.2515	-1.048	-0.2105	-0.4445	0.0315	-0.5145	-0.8765	-0.7215	0.4305	0.2545	-0.4155	0.7855	-0.2805	-0.2235	-0.4015	-0.4715	-0.0665	-0.0915	0.0135	-0.3895	-0.0605	-0.0315	-0.3885	0.4835	-0.0125	-0.1145	0.6905	-0.9275	0.0835	1.236	-0.1015	1.078	1.818	2.115	1.584	1.366	0.8075	1.103	-0.5425	1.51	1.666	0.9015	0.7475	1.219	0.1745	0.6095	0.4925	0.5745	0.8425	0.4955	1.468
RALGAPA1	1.154	-0.764	0.579	0.242	-0.829	0.932	0.916	1.037	-0.04	1.287	0.223	1.595	0.525	0.198	1.261	1.288	0.285	1.759	2.027	2.14	1.793	1.309	1.21	0.845	0.417	1.813	1.604	-0.607	-5.72e-09	0.113	-0.961	-0.588	0.352	0.079	-0.598	-5.72e-09	-1.767	-0.649	-1.517	-0.394	-1.928	-1.106	-1.057	-1.231	-1.534	-0.813	-1.296	-2.022	-2.821	-2.151	-2.069	-1.605	-0.239	-1.112	-0.553	-1.726
DTWD1	0.187	0.765	0.644	0.307	-1.95	-0.508	2.524	0.255	0.254	0.549	0.986	1.256	-0.264	0.316	1.311	0.144	-0.615	1.662	1.689	0.45	1.529	-0.951	0.487	2.026	1.581	1.434	0.57	0.378	-0.31	-0.835	-0.281	2.008	1.121	0.546	-0.909	-0.057	-2.004	-1.689	-1.854	0.101	-0.343	-2.181	-2.511	-1.05	-3.403	0.536	-0.39	-1.058	-0.7	-1.796	-1.5	-3.651	-2.052	-3.05	-2.403	0.379
LOC151534	0.6835	0.1435	1.8975	0.216	-0.7305	0.6345	1.0055	-1.384	1.335	-0.778	-0.231	1.448	2.5905	1.055	0.678	1.2085	2.7885	2.746	1.9095	1.584	1.971	1.4865	2.954	2.0525	1.329	1.83	1.337	-1.5355	-1.3035	-0.1515	-1.838	-1.4975	-0.0815	-0.183	-0.705	-2.139	-0.0815	-3.07	-0.404	-2.1075	-2.5115	-2.018	-1.961	-1.538	-0.8805	-1.0205	-1.2535	-0.006	-3.514	-0.47	-4.4875	-0.0815	0.1845	-2.008	-2.692	-0.079
PKNOX1	1.366	-0.0165	0.3115	1.042	-0.4775	0.5145	-2.055	0.9425	-0.5775	-0.0905	0.7325	0.3985	-0.0065	1.465	1.231	0.6435	1.422	0.6015	1.168	0.7305	0.1135	0.6815	0.8475	1.059	1.821	0.3655	0.7505	0.2725	-1.751	-0.8685	-1.493	-0.3335	0	-0.3235	-2.542	-0.8095	0.6305	-1.749	-0.7795	-1.383	1.276	-0.3505	-1.379	-2.867	-5.581	-2.122	-1.534	-1.498	-2.794	0	-3.851	0	-2.682	-1.909	-2.557	0.5245
TFB2M	-1.07e-07	1.65	3.836	0.932	-0.273	2.506	-0.286	1.089	2.665	1.733	0.701	8.071	4.434	2.279	2.147	2.762	-1.07e-07	1.029	4.755	2.765	0.521	-0.75	-1.07e-07	2.595	2.464	2.512	1.595	-1.374	0.463	-0.519	-0.386	-0.139	-1.07e-07	1.529	-0.904	-1.338	-1.07e-07	-2.383	-0.357	-1.843	-3.894	-1.371	-1.421	-1.651	-1.248	-2.227	-1.788	-1.752	-2.843	-1.07e-07	-2.344	-1.07e-07	-1.07e-07	-1.558	-3.357	-1.178
VCY	1.671	1.294	2.096	1.45	-0.175	-0.05	1.791	2.726	0	0.006	-0.374	2.189	0.647	1.287	1.21	0.868	1.384	0.452	2.964	0.05	0.853	1.162	0	-0.001	0.821	2.404	-0.259	-0.847	-0.618	-0.799	-0.198	-0.468	-0.802	-0.51	-0.581	0	0	0.691	0.167	0.001	-0.11	-0.096	0.205	-0.405	-0.292	0.659	-0.06	0.271	-0.079	-0.045	-0.286	-0.813	-0.353	-0.507	-0.626	0.254
LOC728723	3.004	0.769	0.245	0.712	4.437	0.697	1.667	1.138	1.348	1.851	2.368	2.277	3.848	0.98	1.379	2.07	0.117	-0.075	2.957	3.129	4.259	1.046	3.387	-0.638	3.905	1.218	2.693	-1.232	-0.368	-1.712	-1.476	-0.948	-1.189	-1.064	-0.443	-0.864	-1.181	-1.173	-1.114	0.3	-2.724	-0.984	-1.353	0	-1.477	-1.826	-1.498	-1.507	-1.734	-1.8	0.244	-1.087	-0.327	-1.286	-0.515	-1.143
CA4	0.00525	1.1275	1.126	-2.642	-1.4765	-1.407	1.599	0.20575	2.0145	1.2765	1.1075	-0.11875	0.09175	1.167	0.68625	1.477	-2.55	1.606	-0.75325	-2.0005	-3.24	0.22325	-0.823	1.2823	1.697	2.4785	-1.319	-1.4275	1.069	0.79125	-0.6575	-0.18125	0.65825	1.162	-0.26125	-0.72725	-0.01775	-1.513	-2.785	-1.389	-3.093	-1.816	-5.153	-1.0695	-0.17225	-2.95	-1.138	-3.529	-2.111	-2.1815	-3.179	-3.4625	-4.2	-1.4975	-2.4855	-0.22275
